date,1 (low bm),2,3,4,5,6,7,8,9,10 (high bm)
19810131,0.139234,0.650472,-0.092205,0.07748,0.184614,0.109062,0.08652,0.090228,0.11651,0.080853
19810228,0.073275,0.678069,-0.02916,-0.018659,0.179106,0.008072,0.083059,0.043115,0.852232,0.07917
19810331,-0.025674,0.10105,-0.03676,-0.004172,0.08011,0.243924,0.069014,0.037061,0.048169,-0.013592
19810430,-0.105317,0.512415,-0.004795,0.054601,0.265184,0.238946,0.135146,0.11814,0.267197,0.135054
19810531,-0.235522,-0.008432,-0.127956,-0.02519,-0.131175,-0.11019,-0.085711,-0.093141,-0.150003,-0.095992
19810630,-0.00555,0.280388,0.048189,-0.041826,0.031317,-0.021125,0.003449,-0.00754,-0.198473,0.025475
19810731,0.22138,0.03502,0.184356,0.190818,0.302163,0.078996,0.237548,0.176627,0.206273,0.151562
19810831,-0.033764,-0.089845,0.011368,-0.013079,0.01893,0.184413,0.030756,0.04738,-0.021314,0.018209
19810930,-0.126534,-0.056606,-0.11745,-0.056732,-0.123933,-0.049247,-0.018206,-0.022571,-0.092773,-0.02876
19811031,0.096243,0.027836,0.095919,0.231921,-0.173141,0.105314,0.043084,0.094398,0.074796,0.077406
19811130,-0.047512,0.208896,0.014639,-0.001382,0.000872,0.00409,0.096784,0.066696,0.037869,0.038779
19811231,-0.104862,0.086308,-0.08515,-0.100788,-0.153484,-0.12321,-0.033147,-0.061798,-0.029581,-0.018642
19820131,0.083599,0.113339,-0.049981,-0.01109,0.087238,0.057208,0.195373,-0.009336,0.05816,0.09096
19820228,-0.101538,-0.047569,-0.177525,-0.116628,-0.109922,-0.055215,-0.058403,-0.064763,-0.067753,-0.026423
19820331,-0.056349,-0.085377,-0.0431,-0.143093,0.005177,-0.011745,0.003715,0.027222,0.00644,-0.054739
19820430,0.057212,-0.019114,0.018117,0.097811,0.032615,0.063401,0.045008,0.043397,0.030263,0.087602
19820531,0.030739,0.048668,0.053235,0.05229,0.040442,0.083189,0.225601,0.058101,0.023099,0.007728
19820630,-0.097007,-0.043358,-0.097023,-0.090184,-0.091379,-0.067142,-0.020322,-0.112239,-0.085599,-0.02488
19820731,0.007525,-0.056024,0.019431,0.004834,-0.026438,0.000214,0.045643,0.036138,-0.007059,-0.062695
19820831,0.003736,-0.088704,-0.067217,0.07506,-0.012146,0.044634,-0.01666,-0.096145,0.02542,0.021266
19820930,0.076694,-0.167575,-0.050322,-0.057948,-0.006024,-0.036061,-0.023322,-0.061845,-0.069509,-0.033378
19821031,-0.020478,0.077626,0.02865,0.085918,-0.011448,-0.029253,0.059165,-0.011668,-0.064662,-0.04776
19821130,0.087215,-0.198607,-0.010723,-0.103287,-0.015698,-0.062821,-0.042179,-0.025216,-0.056637,0.118997
19821231,0.161741,-0.1029,-0.082878,0.003911,0.014956,-0.022389,0.020978,0.085913,0.041824,0.040866
19830131,0.666276,0.067962,0.167273,0.076132,0.273056,0.179459,0.015208,0.361655,0.383348,0.169455
19830228,0.174255,0.129439,0.310728,0.013213,0.118674,0.152964,0.058159,0.090207,0.107174,0.166488
19830331,-0.054623,0.161264,0.274472,0.11439,0.052156,0.112977,0.060076,0.064259,0.19371,0.109392
19830430,0.205704,0.077788,-0.020054,0.262961,0.100317,0.134056,0.27489,0.4607,0.180682,0.10655
19830531,0.023344,0.012676,-0.081365,-0.026511,-0.060994,-0.039511,0.021204,-0.084247,0.013349,0.057558
19830630,-0.035783,-0.107348,-0.037012,0.002824,-0.050962,-0.012536,0.102465,0.074407,0.039425,0.0128
19830731,0.082,0.128005,0.183241,0.18688,-0.030386,0.052844,0.165948,0.118096,0.079042,0.145899
19830831,-0.018987,-0.001722,-0.040247,-0.002752,0.056001,0.012671,0.061384,0.067305,-0.029079,0.035066
19830930,-0.066344,0.02979,0.063147,0.046595,0.098939,0.055776,0.002242,0.082584,0.096015,0.021248
19831031,-0.067257,0.043566,-0.015632,0.045267,0.11194,0.01325,-0.068067,-0.001039,0.022056,0.009033
19831130,0.116487,-0.007923,-0.053292,-0.068117,-0.051395,-0.027835,-1e-05,-0.073068,-0.011652,0.020307
19831231,0.083146,0.108331,0.169374,0.08491,0.032867,0.121241,0.019331,0.070729,0.201628,0.128631
19840131,0.046804,0.189527,0.291156,0.166583,0.073977,0.149686,0.146485,0.313655,0.202894,0.215388
19840229,-0.045757,0.134383,0.015504,-0.023212,-0.01923,0.004282,0.007058,0.010888,0.058108,0.040391
19840331,0.045459,0.09121,0.147958,0.14807,0.087833,0.012149,0.144176,0.105024,0.154163,0.156652
19840430,0.104722,0.067834,0.056827,0.072592,0.14826,0.128648,0.058372,0.03665,-0.006718,0.09804
19840531,-0.037881,-0.036508,-0.076421,-0.002995,-0.023766,-0.007472,-0.009166,-0.006711,0.008468,0.031791
19840630,-0.109802,-0.016797,-0.20938,-0.110999,-0.169579,-0.142189,-0.185536,-0.118915,-0.132857,-0.180799
19840731,0.094919,-0.02699,0.08761,0.004154,0.105435,-0.011635,0.055295,0.077381,0.066693,0.06115
19840831,0.088834,0.077585,0.054277,0.036525,0.050118,0.139734,0.037895,0.061443,0.049338,0.013344
19840930,0.028329,-0.074089,0.009015,-0.040035,-0.048997,-0.01814,-0.046246,-0.052307,-0.081032,-0.053698
19841031,0.013317,0.051995,0.034529,0.010537,0.054612,0.034591,0.114115,0.064361,0.048502,0.136079
19841130,0.083411,0.030666,0.007461,-0.024769,0.085533,-0.118055,0.045355,-0.023627,0.013695,0.020294
19841231,0.04112,-0.024658,0.144456,0.09373,0.095275,-0.036667,0.053281,0.131652,0.12032,0.157503
19850131,0.16452,0.194278,0.11518,0.202851,0.173085,0.174744,0.311566,0.173524,0.099801,0.147332
19850228,0.046868,-0.029714,-0.028639,-0.042582,-0.031607,-0.069069,-0.078689,-0.038187,-0.006265,-0.028106
19850331,-0.016859,-0.076561,-0.087698,-0.03578,-0.0197,-0.067857,-0.04667,-0.013214,-0.018048,-0.005845
19850430,0.030835,0.055472,0.05446,0.029107,0.08981,0.025763,0.066277,0.0197,0.128629,0.066414
19850531,0.005268,0.077461,0.049468,-0.012582,-0.022249,0.212084,0.059345,0.023049,-0.04487,0.059491
19850630,-0.077508,-0.026649,-0.044017,-0.009858,-0.052368,-0.028216,-0.064806,-0.046846,-0.080095,-0.066647
19850731,0.093151,0.026183,0.018316,0.049192,0.059683,0.038113,0.090137,0.022198,0.091773,0.041723
19850831,0.058731,0.047322,0.024671,-0.008776,0.077989,-0.022058,0.023827,0.076519,-0.005881,-0.038212
19850930,0.024704,0.032529,0.044226,0.055947,0.036802,0.035748,0.041011,0.025577,0.064681,0.033708
19851031,0.244014,0.107369,0.030014,0.021114,0.115164,-0.025976,0.054507,0.020929,0.276004,0.027908
19851130,0.083949,0.046736,0.026624,0.046189,0.127264,0.058275,0.002128,0.042883,0.003099,0.037435
19851231,0.049204,-0.056197,-0.018161,0.080442,-0.019996,-0.03421,0.005419,-0.066233,-0.017533,-0.055008
19860131,-0.025964,-0.006338,-0.025129,-0.075659,-0.055491,-0.052013,-0.077763,-0.023838,-0.040253,-0.10505
19860228,0.061998,-0.070746,-0.070393,0.014211,-0.034369,-0.067748,0.015197,-0.042359,-0.070687,-0.012144
19860331,0.044504,0.020312,-0.038311,0.029154,0.008909,-0.060635,-0.033282,-0.086845,-0.053972,-0.028506
19860430,-0.112106,-0.064136,-0.032804,-0.103995,-0.020923,-0.026537,-0.056921,-0.031848,-0.081895,-0.009049
19860531,0.004471,-0.038237,-0.043512,-0.038871,0.226297,0.039327,0.014448,0.006033,-0.018162,-0.011146
19860630,0.051976,0.134383,0.042874,0.100448,0.062824,0.107105,0.076697,0.090873,0.050782,0.097824
19860731,-0.111957,0.025174,0.005638,0.042542,-0.190513,0.040035,-0.020702,-0.034366,0.026299,-0.090636
19860831,0.119604,0.044062,0.026548,-0.028826,0.170549,0.069792,0.090187,0.009126,0.051829,0.107857
19860930,-0.025438,0.045458,0.042936,0.220702,-0.055404,0.002715,0.073067,0.05106,0.038118,-0.007463
19861031,0.034114,0.01008,0.001153,0.04863,0.017572,-0.016353,0.095562,0.018847,0.060748,-0.020981
19861130,-0.021316,0.064098,0.01519,0.049917,0.016154,0.068199,0.026419,0.064089,-0.033307,-0.003574
19861231,-0.056257,-0.036939,-0.051869,-0.112224,-0.034235,-0.064082,-0.05223,-0.064352,-0.050374,-0.069551
19870131,0.034989,0.085413,-0.015826,-0.013688,0.012716,0.031682,0.025495,0.078177,0.052547,0.02245
19870228,0.044647,0.026613,0.018556,0.087385,0.04514,0.022285,-0.016419,0.021112,0.040391,-0.019234
19870331,0.054127,0.079884,0.051604,0.084565,0.047451,0.070632,0.00263,0.102232,0.050346,-0.015487
19870430,0.046967,-0.004529,0.010369,0.09636,0.031379,0.051612,0.042511,0.05035,0.029428,0.245873
19870531,0.091966,-0.037388,0.005927,0.079379,-0.046269,0.023549,0.040112,0.000656,0.062333,0.108462
19870630,0.025166,0.034104,0.118801,0.048018,-0.009733,0.022858,0.056017,-0.008011,0.066015,0.079559
19870731,0.167696,0.126174,0.055479,0.127024,0.040606,0.060529,0.178022,0.083748,0.122782,0.160614
19870831,0.129388,0.046682,0.013554,0.080371,0.145556,0.138483,0.12021,0.193518,0.070692,0.037069
19870930,0.054818,-0.029304,0.244318,-0.012022,0.111994,0.132379,0.104017,0.079107,0.090158,0.154407
19871031,-0.260085,-0.33127,-0.332534,-0.269478,-0.245992,-0.25678,-0.141776,-0.206245,-0.235464,-0.130291
19871130,-0.074985,-0.125037,-0.207106,-0.243501,-0.043681,-0.140127,-0.227089,-0.1469,-0.191066,-0.246688
19871231,0.127035,-0.048887,0.065748,0.014705,-0.061385,-0.033769,-0.076904,-0.055103,-0.039197,-0.002663
19880131,-0.068475,0.107509,0.089669,0.047289,0.049554,0.094,-0.187475,0.159107,0.215544,0.327796
19880229,0.004543,-0.071719,0.103519,0.084615,0.079751,0.042501,0.056647,0.067776,0.01984,0.116985
19880331,0.027817,-0.007355,0.106361,0.05066,0.069225,0.050765,0.298816,-0.041362,0.058914,0.188126
19880430,0.015031,0.014234,0.060628,-0.029224,-0.019307,-0.048935,-0.045206,-0.012784,0.004102,-0.032135
19880531,-0.081473,-0.070003,-0.045006,-0.05106,-0.042381,-0.065214,-0.088175,-0.127001,-0.069131,0.012975
19880630,0.029202,0.022039,0.130685,0.054535,0.134273,-0.044576,-0.011247,0.018024,-0.031005,0.0903
19880731,-0.030989,0.003412,0.017386,0.020056,0.02655,-0.01398,-0.015428,0.052005,0.040789,0.099711
19880831,-0.024848,-0.053567,-0.072973,-0.072531,-0.08199,-0.04032,-0.073051,0.054994,-0.110408,-0.034842
19880930,0.002013,0.000973,0.035104,0.073916,0.081652,0.019635,-0.011863,0.019779,0.069571,0.040433
19881031,0.024871,1.4e-05,-0.04279,0.023592,0.039225,0.073516,-0.006879,0.079153,0.044257,0.163957
19881130,-0.029344,0.008196,0.041765,-0.008114,0.068792,0.021821,-0.006382,0.114373,0.177951,0.013755
19881231,0.144265,0.039238,0.118488,0.089146,0.097774,0.524115,0.139401,0.113348,0.124709,0.074463
