date,1 (small size),2,3,4,5,6,7,8,9,10 (large size)
19800131,0.204935,0.013051,0.041482,-8.6e-05,0.008812,0.055235,0.045083,0.040566,-0.148072,0.031436
19800229,0.143276,0.09382,0.082626,0.098755,-0.01638,0.034696,0.036998,0.067903,0.055314,-0.071015
19800331,0.070765,-0.034454,-0.126839,-0.041209,-0.024712,-0.034654,-0.037125,-0.074603,-0.066625,-0.23601
19800430,0.102191,-0.0562,0.010128,0.01884,-0.015661,-0.001329,-0.049513,0.058074,0.015976,0.128173
19800531,0.361189,0.035054,-0.002139,0.018628,0.030449,-0.039822,0.04148,0.092386,0.040576,0.13223
19800630,-0.075269,0.029954,0.013638,0.109058,-0.029539,0.002886,0.020376,-0.083172,-0.008149,-0.014021
19800731,0.084007,0.034061,0.058034,-0.016268,0.017016,0.044521,-0.042675,-0.016067,-0.015121,-0.026034
19800831,0.008697,0.011468,-0.03396,-0.004835,-0.002965,-0.006444,-0.037213,-0.004837,-0.009621,-0.050703
19800930,-0.003389,0.15643,-0.07877,-0.037434,-0.011261,0.016301,-0.013696,0.006745,0.059702,0.113916
19801031,0.068509,0.09727,-0.068369,0.048196,0.004993,0.022176,-0.043538,-0.027181,0.010598,-0.005298
19801130,0.140634,-0.028807,0.146279,-0.166323,0.009749,0.021288,0.027231,0.085874,0.017322,-0.015538
19801231,0.077095,0.025759,-0.051161,0.04186,-0.021474,-0.015808,0.031375,-0.003058,0.026699,-0.060218
19810131,0.526925,0.137493,0.12446,0.238704,0.26905,0.239147,0.350117,0.05032,0.101467,-0.022453
19810228,1.00677,0.239319,0.089752,0.098321,0.019279,0.796557,0.244164,0.015388,0.042716,-0.000909
19810331,0.217991,0.290816,0.004808,0.053682,0.061579,0.063689,0.127244,-0.055452,0.0439,-0.015444
19810430,0.030978,0.001364,0.069598,0.26531,0.200214,0.110665,0.380935,0.122785,0.103165,-0.004338
19810531,-0.219631,-0.0755,-0.105471,-0.131528,-0.100662,-0.13147,-0.025259,-0.059319,-0.108031,-0.115494
19810630,-0.135583,-0.007889,0.057148,0.06799,-0.011519,-0.152959,0.16816,0.000714,-0.005946,0.027104
19810731,0.173274,0.276294,0.078698,0.099027,0.179386,0.145104,0.181561,0.128448,0.168547,0.173229
19810831,0.026311,0.035741,0.045571,-0.016203,0.161045,0.003566,-0.024245,0.044672,0.011939,0.090007
19810930,-0.132537,0.180679,-0.07006,0.015943,-0.001179,-0.08432,-0.071146,0.001209,-0.054554,-0.0957
19811031,0.356668,-0.023184,0.002957,0.098582,0.127454,0.070202,0.004767,0.258996,0.068582,0.055388
19811130,0.034498,0.037773,0.108106,0.106493,-0.030989,0.050933,0.151753,0.055176,0.051058,0.012108
19811231,0.098122,-0.075809,-0.07166,0.032993,-0.081017,-0.004664,0.043258,-0.096215,-0.052255,-0.062302
19820131,0.133071,0.070439,0.169482,0.110226,0.064928,0.119963,0.088479,0.02007,0.043459,0.010153
19820228,0.067167,0.026856,-0.083614,-0.082406,-0.029684,-0.070988,-0.06535,-0.077102,-0.038476,-0.087239
19820331,0.082502,0.049883,0.062238,-0.141322,0.007314,-0.003593,-0.024611,0.003174,-0.001383,-0.110718
19820430,0.062236,0.167267,-0.03209,0.092326,0.054652,-0.050101,0.063993,0.025053,0.024562,0.061527
19820531,0.021581,0.02073,0.131334,0.076279,0.145508,0.030443,0.120299,0.038135,0.003264,0.039963
