date,SMB,HML,PR1YR,UMD
19810228,,,0.207715,0.150642
19810331,,,0.084014,0.047482
19810430,,,0.116179,0.102302
19810531,,,-0.024163,-0.026211
19810630,,,0.008331,0.083538
19810731,-0.013614,-0.074722,0.010545,0.001274
19810831,0.060654,-0.006448,0.050728,0.008978
19810930,0.026383,0.066246,-0.024106,-0.003673
19811031,0.036184,-0.075676,-0.013509,-0.015035
19811130,0.023903,0.035321,0.120539,0.097493
19811231,0.017506,-0.004682,0.053419,0.059961
19820131,0.043954,0.009777,-0.013300,0.088831
19820228,0.003613,0.077275,0.018304,0.033205
19820331,0.031180,0.113287,0.006518,0.026706
19820430,-0.061226,0.055420,-0.009390,-0.012651
19820531,-0.008274,0.000303,-0.003977,0.037040
19820630,-0.038096,0.014077,-0.005592,-0.007725
19820731,0.063004,-0.063933,0.021250,0.007615
19820831,-0.034276,0.022606,0.028107,-0.052032
19820930,-0.061638,0.077473,0.085230,0.051006
19821031,-0.019477,-0.049852,0.040874,0.019535
19821130,0.043018,-0.019293,0.089411,0.074915
19821231,0.011185,0.044717,0.088744,0.067377
19830131,-0.102281,0.083425,0.075000,0.167466
19830228,0.003536,-0.035641,0.073276,0.094322
19830331,0.117663,-0.014165,-0.151210,-0.102705
19830430,-0.036232,0.228316,0.236390,0.224131
19830531,-0.033087,-0.073902,0.051870,0.063087
19830630,-0.064283,0.140637,0.025182,0.011320
19830731,-0.019827,-0.004687,-0.012516,0.016436
19830831,0.060321,0.102520,-0.035535,-0.063040
19830930,0.048492,0.039490,-0.007064,-0.041580
19831031,0.042590,0.055135,-0.053121,-0.107857
19831130,-0.044220,-0.068101,-0.051952,-0.029248
19831231,0.032533,0.031429,0.004796,0.010866
19840131,0.075476,-0.035638,0.073317,0.091350
19840229,0.022795,0.034905,0.035966,-0.023026
19840331,0.158736,-0.091338,0.185840,0.219365
19840430,-0.010359,-0.018153,0.025086,0.016231
19840531,-0.006255,-0.019048,-0.022885,0.016949
19840630,-0.016632,-0.010090,-0.079909,-0.082513
19840731,0.050192,0.015543,0.021239,0.013422
19840831,-0.016395,-0.038547,0.004643,-0.011804
19840930,0.004616,-0.051159,-0.006432,-0.026624
19841031,0.081188,0.110844,0.027654,0.000790
19841130,0.096437,-0.105265,0.023091,0.038486
19841231,0.061553,0.192840,0.055975,0.085880
19850131,-0.055364,-0.000441,-0.032733,0.079829
19850228,0.011418,0.091752,0.087709,0.102632
19850331,0.021545,0.046047,-0.028220,-0.019932
19850430,0.006938,0.075845,0.036806,-0.023728
19850531,-0.055253,-0.014879,0.027890,0.039807
19850630,0.006756,-0.017195,0.043719,0.024638
19850731,0.032722,0.005297,-0.019922,0.005276
19850831,-0.004206,-0.061587,0.079737,0.103110
19850930,0.023963,0.003313,-0.064374,-0.060142
19851031,0.025992,-0.046688,0.056970,0.057814
19851130,-0.009195,-0.050589,0.083206,0.084580
19851231,0.046916,-0.039591,0.088885,0.046942
19860131,0.036140,-0.037208,-0.001570,0.035364
19860228,0.000732,-0.004779,-0.027447,-0.005316
